,ID,nombre,ID_host,host_nombre,host_desde,descripción,tiempo_respuesta,tasa_respuesta,tasa_aceptación_host,superhost,host_vecindario,host_listados,host_contacto,host_foto_perfil,host_identidad_verif,vecindario,grupo_vecindario,tipo_propiedad,tipo_habitación,alojados,baños,recámaras,camas,amenidades,precio,min_noches,max_noches,min_min_noches,max_max_noches,prom_min_noches,prom_max_noches,disponibilidad_30,disponibilidad_60,disponibilidad_90,disponibilidad_365,num_reviews,primer_review,ly_reviews,ocupación_estimada_365,ganancia_estimada_365,calificación_general,cal_precisión,cal_limpieza,cal_check-in,cal_comunicación,cal_ubicación,cal_valor,agendado_instante,reviews_mes,licencia
18800,679863488095364952,Oceanfront Retreat on Kalapaki Bay Kauai Sleeps 4,7984,Ahlea,2009-02-16,"Spectacular Oceanfront Cliff House on famous & historic Kalapaki Bay.  2 bedrooms 1-1/2 baths.  A/C in bedrooms. Two story, newly renovated.  Elevator Beach access within walking distance.  Incredible sunrise/sunset views from every room.  Walk to Royal Sonesta and Timbers Resorts  w/great amenities & restaurants. Two beautiful lanais for outdoor dining with waves crashing below where you can watch sea turtles, dolphins and spotted rays .",within a few hours,100%,97%,t,Kauaʻi,3.0,"['email', 'phone']",t,t,Lihue,Kauai,Entire cottage,Entire home/apt,4,1.5,2.0,2.0,"[""Shared beach access \u2013 Beachfront"", ""Fast wifi \u2013 285 Mbps"", ""Sound system"", ""Freezer"", ""Paid resort access"", ""Hair dryer"", ""Sun loungers"", ""Dining table"", ""Dishwasher"", ""Shower gel"", ""Outdoor furniture"", ""BBQ grill"", ""Private entrance"", ""Sea view"", ""Resort view"", ""Essentials"", ""Mountain view"", ""Hot water"", ""Outdoor shower"", ""Clothing storage: closet and dresser"", ""Wine glasses"", ""Barbecue utensils"", ""Other stainless steel gas stove"", ""Free street parking"", ""Kitchen"", ""Toaster"", ""Cleaning products"", ""Bidet"", ""Free dryer \u2013 In unit"", ""Ocean view"", ""Drying rack for clothing"", ""GE French door with water and ice maker  refrigerator"", ""Microwave"", ""Beach view"", ""Iron"", ""Private patio or balcony"", ""Dishes and silverware"", ""Elevator"", ""Waterfront"", ""Beach essentials"", ""TV"", ""Long term stays allowed"", ""First aid kit"", ""Cooking basics"", ""AC - split type ductless system"", ""Bay view"", ""Multi conditioner"", ""Books and reading material"", ""Keypad"", ""Free washer \u2013 In unit"", ""Fire extinguisher"", ""Shampoo"", ""Coffee maker: french press, Keurig coffee machine"", ""Babysitter recommendations"", ""Pack \u2019n play/Travel crib - available upon request"", ""Blender"", ""Ceiling fan"", ""Baking sheet"", ""Rice maker"", ""Outdoor dining area"", ""Multi body soap"", ""Bed linens"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Hot water kettle"", ""Stainless steel oven"", ""Hangers"", ""Smoke alarm"", ""Portable fans"", ""Ethernet connection"", ""Harbor view"", ""Coffee"", ""Self check-in""]",$602.00,2,365,2,365,2.0,365.0,4,12,33,292,88,2022-10-23,36,198,119196.0,4.9,4.91,4.93,4.91,4.92,4.97,4.76,f,3.04,"350020370002, TA-021-379-0720-03"
19000,689200705826687591,Wyndham Kona Hawaiian | 2BR/2BA King Bed Suite,389697794,David,2021-02-22,"On the Big Island’s west coast, you’ll find this delightful retreat built to capture the natural wonder of Kailua-Kona. Beautifully designed to capture the charm of the 1930s, you’ll want for no modern amenity. Outdoor pools and the nearby beach are just the beginning of what’s within reach.<br /><br />We understand the importance of an ocean view for your stay, and we will do our utmost to fulfill your request. Although we cannot guarantee it, our team will work diligently to ensure you have the most enj",within a few hours,99%,57%,f,Downtown Austin,1399.0,"['email', 'phone']",t,t,North Kona,Hawaii,Entire condo,Entire home/apt,6,2.0,2.0,3.0,"[""Coffee maker"", ""Heating"", ""Hair dryer"", ""Bathtub"", ""Dishwasher"", ""Pool"", ""Wifi"", ""BBQ grill"", ""Private entrance"", ""Hot tub"", ""Pack \u2019n play/Travel crib"", ""Refrigerator"", ""Essentials"", ""Luggage dropoff allowed"", ""Hot water"", ""Building staff"", ""Kitchen"", ""Toaster"", ""Outdoor dining area"", ""Microwave"", ""Iron"", ""Dishes and silverware"", ""Crib"", ""Washer"", ""Oven"", ""TV"", ""First aid kit"", ""Cooking basics"", ""Dedicated workspace"", ""Patio or balcony"", ""Air conditioning"", ""Fire extinguisher"", ""Exercise equipment"", ""Shampoo"", ""Stove"", ""Bed linens"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Hangers"", ""Smoke alarm"", ""Dryer"", ""Room-darkening shades"", ""Self check-in""]",$255.00,3,28,3,28,3.0,28.0,20,49,79,354,3,2022-08-19,0,0,0.0,4.33,3.67,5.0,4.67,4.67,4.67,4.33,f,0.1,
19200,696627784269510136,Wyndham Royal Sea Cliff | 1BR/1BA King Balc Suite,442029804,Live Suite,2022-01-25,"Nearby Pu‘uhonua o Hōnaunau, an ancient sanctuary whose name means ""the place of refuge,"" could easily describe this resort. Oceanfront, modern, and conveniently tucked outside Kailua-Kona, tranquility reigns. It’s the ideal home-base for all of your island adventures.<br /><br />We understand the importance of an ocean view for your stay, and we will do our utmost to fulfill your request. Although we cannot guarantee it, our team will work diligently to ensure you have the most enjoyable experience possi",within an hour,97%,58%,f,Southwest Orlando,3619.0,"['email', 'phone']",t,t,North Kona,Hawaii,Entire condo,Entire home/apt,4,1.0,1.0,2.0,"[""Coffee maker"", ""Heating"", ""Hair dryer"", ""Bathtub"", ""Dishwasher"", ""Pool"", ""Wifi"", ""BBQ grill"", ""Private entrance"", ""Hot tub"", ""Pack \u2019n play/Travel crib"", ""Refrigerator"", ""Essentials"", ""Luggage dropoff allowed"", ""Hot water"", ""Building staff"", ""Kitchen"", ""Toaster"", ""Microwave"", ""Elevator"", ""Iron"", ""Dishes and silverware"", ""Crib"", ""Washer"", ""Oven"", ""TV"", ""First aid kit"", ""Cooking basics"", ""Patio or balcony"", ""Air conditioning"", ""Fire extinguisher"", ""Stove"", ""Shampoo"", ""Free residential garage on premises"", ""Bed linens"", ""Carbon monoxide alarm"", ""Extra pillows and blankets"", ""Hangers"", ""Smoke alarm"", ""Dryer"", ""Gym"", ""Self check-in""]",$373.00,2,365,3,365,3.0,365.0,0,0,0,66,0,,0,0,0.0,,,,,,,,f,,
19400,699980364577466821,Wyndham The Cliffs Club | 1BR/2BA King Balc Suite,442029804,Live Suite,2022-01-25,"Perched on the hills of Kauai that overlook the island’s majestic north shore, this resort is a secluded getaway in the upscale Princeville community. Explore its 22-acre tropical garden by bike, hit the tennis courts, or lounge with a book by the swimming pool before watching a spectacular sunset.<br /><br />Wyndham  The Cliffs Club | 1BR/2BA King Balc Suite<br />• Size: 917 - 917<br />• Kitchen: Full<br />• Baths: 2<br />• Accommodates: 4 Guests<br />• Beds: King Bed - 1  Queen Sleeper Sofa - 1",within an hour,97%,58%,f,Southwest Orlando,3619.0,"['email', 'phone']",t,t,North Shore Kauai,Kauai,Entire condo,Entire home/apt,4,2.0,1.0,2.0,"[""Coffee maker"", ""Heating"", ""Conditioner"", ""Freezer"", ""Hair dryer"", ""Bathtub"", ""Safe"", ""Dishwasher"", ""Dining table"", ""Shower gel"", ""Pool"", ""Outdoor furniture"", ""Wifi"", ""BBQ grill"", ""Private entrance"", ""Hot tub"", ""Pack \u2019n play/Travel crib"", ""Refrigerator"", ""Essentials"", ""Luggage dropoff allowed"", ""Wine glasses"", ""Hot water"", ""Building staff"", ""Kitchen"", ""Toaster"", ""Body soap"", ""Microwave"", ""Iron"", ""Clothing storage"", ""Dishes and silverware"", ""Crib"", ""Washer"", ""Oven"", ""TV"", ""First aid kit"", ""Cooking basics"", ""Dedicated workspace"", ""Resort access"", ""Patio or balcony"", ""Stove"", ""Fire extinguisher"", ""Shampoo"", ""Blender"", ""Ceiling fan"", ""Baking sheet"", ""Bed linens"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Hangers"", ""Smoke alarm"", ""Portable fans"", ""Dryer"", ""Gym"", ""Coffee"", ""Room-darkening shades"", ""Self check-in""]",$185.00,2,365,3,365,3.0,365.0,2,8,14,268,3,2024-09-05,2,18,3330.0,5.0,5.0,5.0,4.33,4.67,5.0,5.0,f,0.47,"540050390000, TA-068-663-8592-01"
19600,703797745096847105,Inn 1002 10th floor Studio overlooking the park,43793840,Mark,2015-09-09,A great place to call home in Honolulu - Studio sleeps 2<br />Our modern and bright Studio at the Fort DeRussy end of Waikiki is a great place to call home while visiting Honolulu.<br />Just a couple of mins walk to the Marina and Friday night fireworks. <br />The comfortable brand new mattress is a delight to fall asleep on after a long day at the beach or after wandering through the 100's of store at the local Ala Moana shopping center (a 5-7 min walk from our unit),within an hour,100%,100%,f,Waikiki,284.0,"['email', 'phone']",t,f,Primary Urban Center,Honolulu,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,"[""Clothing storage"", ""HDTV"", ""Beach access \u2013 Beachfront"", ""Wifi"", ""BBQ grill"", ""Elevator"", ""Dishes and silverware"", ""Park view"", ""Conditioner"", ""Smoke alarm"", ""Dining table"", ""Washer"", ""Paid parking off premises"", ""Body soap"", ""Coffee maker"", ""Fire extinguisher"", ""Hair dryer"", ""Paid dryer \u2013 In building"", ""Long term stays allowed"", ""Air conditioning"", ""Laundromat nearby"", ""Mini fridge"", ""Hot water"", ""Essentials"", ""Carbon monoxide alarm"", ""Bed linens"", ""Bathtub"", ""Ethernet connection"", ""Iron"", ""Microwave"", ""City skyline view"", ""Self check-in"", ""Hangers"", ""Exercise equipment"", ""Pool"", ""First aid kit"", ""Single level home"", ""Wine glasses"", ""Shampoo"", ""Lockbox""]",$91.00,3,365,3,365,3.0,365.0,3,7,19,279,38,2022-10-08,21,114,10374.0,4.58,4.65,4.45,4.47,4.71,4.58,4.34,t,1.28,"260070260071, 1002, TA-082-801-6128-01"
19800,715194004580178027,The Westin Ka'anapali Ocean - 2BR Villa,341272083,Eich,2020-03-11,"GENERIC PHOTOGRAPHS - Some details may vary depending on the unit assigned<br /><br />• Beachfront Resort<br />• Two-bedroom suite with full bathroom each<br />• Hot tub on master and lock off bedrooms<br />• Balcony with view of the pools or gardens (depending on availability)<br />• Kitchen fully equipped<br />• Kitchenette fully equipped on the lock off room<br />• Dining room<br />• Living room with TV<br />• Access to all resort amenities including the dazzling pools, wide variety of restaurants and bars and different entertainment options",,,,,,631.0,"['email', 'phone']",t,t,Lahaina,Maui,Entire condo,Entire home/apt,8,2.0,2.0,4.0,"[""Coffee maker"", ""Conditioner"", ""Sound system"", ""Freezer"", ""Sun loungers"", ""Hair dryer"", ""Bathtub"", ""Dining table"", ""Dishwasher"", ""Shower gel"", ""Pool"", ""Wifi"", ""BBQ grill"", ""Cleaning available during stay"", ""Private entrance"", ""Hot tub"", ""Refrigerator"", ""Essentials"", ""Beach access \u2013 Beachfront"", ""Sauna"", ""Hot water"", ""Luggage dropoff allowed"", ""Outdoor shower"", ""Mosquito net"", ""Barbecue utensils"", ""Free street parking"", ""Building staff"", ""Kitchen"", ""Cleaning products"", ""Body soap"", ""Microwave"", ""Outdoor dining area"", ""Elevator"", ""Single level home"", ""Iron"", ""Clothing storage"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Waterfront"", ""Beach essentials"", ""Long term stays allowed"", ""Cooking basics"", ""Patio or balcony"", ""Air conditioning"", ""Fire extinguisher"", ""Stove"", ""Shampoo"", ""Backyard"", ""Blender"", ""Free resort access"", ""Bed linens"", ""Extra pillows and blankets"", ""Hangers"", ""Smoke alarm"", ""Dryer"", ""Gym"", ""Coffee"", ""Self check-in""]",$22.00,5,7,5,7,5.0,7.0,0,7,7,35,3,2023-07-07,1,10,220.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,0.15,Exempt
20000,718900313900575235,"Hotel room ocean front property, 4 star resort",5654668,Hung Hung,2013-03-27,"Kauai Beach Resort located along miles of secluded beach in Lihue, Hawaii. Lihue Airport . Naupaka Terrace, the hotel's signature restaurant, offers premium-choice aged beef & local seafood. My 4th floor mountain views over the lushly manicured 25 acre resort. 3 mile secluded beach is steps away. Pools and hot tubs including waterfalls, water slide, and kid-friendly sand bottom. 24 hour fitness center. Spa including massage. Restaurants, bar, shave ice, + market. Elevator access.",within an hour,100%,99%,f,Kauaʻi,41.0,"['email', 'phone']",t,t,Lihue,Kauai,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Heating"", ""Hair dryer"", ""Pool"", ""Wifi"", ""Hot tub"", ""Refrigerator"", ""Essentials"", ""Hot water"", ""Building staff"", ""Outdoor dining area"", ""Iron"", ""Washer"", ""TV"", ""Patio or balcony"", ""Air conditioning"", ""Exercise equipment"", ""Smoke alarm"", ""Fire pit"", ""Dryer"", ""Gym"", ""Self check-in""]",$169.00,2,365,2,365,2.0,365.0,19,45,75,350,29,2022-10-26,13,54,9126.0,4.59,4.69,4.59,4.83,4.52,4.83,4.41,t,1.01,"370030150118, TA-198-057-1648-01"
20200,726458055297395541,Contemporary City One BDRM Condo at the Ilikai,136852691,Brent,2017-06-25,"Experience Waikiki with Happy Vacations, a short-term vacation rental company! We are excited to offer a modern condo at the renowned Ilikai. You'll love the open floor plan, natural lighting, spacious balcony, AC, and thoughtfully furnished. The building features 2 swimming pools, shopping and restaurants.  4-minutes to the beach, and a 10-minute walk to Ala Moana Shopping Center. Enjoy Friday night fireworks starting at 7:45 pm, viewable from the lagoon. Unit is not a part of the hotel pool.",within an hour,99%,99%,f,Waikiki,23.0,"['email', 'phone']",t,t,Primary Urban Center,Honolulu,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,"[""Coffee maker"", ""Paid parking lot off premises"", ""Conditioner"", ""Freezer"", ""Hair dryer"", ""Self check-in"", ""Dishwasher"", ""Outdoor furniture"", ""Wifi"", ""Shared pool"", ""Private entrance"", ""Refrigerator"", ""Paid valet parking on premises"", ""Wine glasses"", ""Hot water"", ""Paid washer \u2013 In building"", ""Kitchen"", ""Toaster"", ""Body soap"", ""Microwave"", ""Elevator"", ""Iron"", ""Private patio or balcony"", ""Dishes and silverware"", ""Stainless steel single oven"", ""Waterfront"", ""Stainless steel electric stove"", ""TV"", ""Long term stays allowed"", ""Cooking basics"", ""AC - split type ductless system"", ""Keypad"", ""Shampoo"", ""Blender"", ""Clothing storage: closet"", ""Rice maker"", ""Bed linens"", ""Carbon monoxide alarm"", ""Extra pillows and blankets"", ""Hot water kettle"", ""City skyline view"", ""Hangers"", ""Smoke alarm"", ""Laundromat nearby"", ""Paid dryer \u2013 In building""]",$182.00,2,1125,2,1125,2.0,1125.0,7,22,51,314,47,2022-12-18,20,132,24024.0,4.83,4.83,4.85,5.0,4.81,4.77,4.68,f,1.73,"260100070580, 601, TA-169-326-3360-01"
20400,734747755026435522,Resort -1 Bedroom Princeville,429953076,Karen,2021-11-01,"Discover The Westin Princeville Ocean Resort Villas on North Shore Kauai. Situated cliffside overlooking the Pacific, our family-friendly vacation ownership resort is near Anini Beach and a short drive from picturesque Hanalei Lookout. Explore The Wai`oli Mission and splendid 1,000-acre Limahuli Garden. Fly through the rainforest on a zipline at Princeville Ranch Adventure and refuel at one of our three on-site restaurants and bars.",within an hour,100%,100%,t,Tourist Corridor,68.0,"['email', 'phone']",t,t,North Shore Kauai,Kauai,Private room in resort,Private room,4,,1.0,,"[""Coffee maker"", ""Wifi"", ""BBQ grill"", ""Refrigerator"", ""Outdoor shower"", ""Shared hot tub"", ""42 inch HDTV with premium cable"", ""Pool view"", ""Kitchen"", ""Outdoor dining area"", ""Ocean view"", ""Beach view"", ""Private outdoor pool - available all year, open specific hours, saltwater"", ""Washer"", ""First aid kit"", ""Patio or balcony"", ""Fire extinguisher"", ""Exercise equipment"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Fire pit"", ""Central air conditioning""]",,180,365,180,365,180.0,365.0,0,0,0,0,0,,0,0,,,,,,,,,t,,Exempt
20600,747848501530296391,"Kapaa-Kauai, HI- 1 Bedroom Suite at Beachboy (4)",458926111,Desiree,2022-05-13,"Located on the lush shores of Kauai's Royal Coconut Coast with white sandy beaches, Kauai Coast Resort at the Beachboy features oceanfront resort suites! This oceanfront resort puts you in a prime position to explore both the northern and southern coastlines. Nearby, you'll find adventures galore, including kayaking, snorkeling, whale-watching tours, hiking, surfing, diving and horseback riding. And of course, Hawaii's legendary beaches stretch out in every direction you go!",within an hour,100%,82%,t,Nazareth,164.0,"['email', 'phone']",t,t,Kapaa-Wailua,Kauai,Private room in resort,Private room,4,1.0,1.0,2.0,"[""Conditioner"", ""Pool"", ""Wifi"", ""BBQ grill"", ""Hot tub"", ""Essentials"", ""Hot water"", ""Kitchen"", ""Iron"", ""Dishes and silverware"", ""Crib"", ""Washer"", ""TV"", ""First aid kit"", ""Cooking basics"", ""Dedicated workspace"", ""Air conditioning"", ""Fire extinguisher"", ""Exercise equipment"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Fire pit"", ""Dryer"", ""Gym""]",$433.00,180,1125,180,1125,180.0,1125.0,30,60,90,296,1,2022-11-13,0,0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,f,0.04,Exempt
20800,755196138317293334,Marriott's Kauai Lagoons 3BR Oceanfront Villa,39073224,Matthew William,2015-07-20,"Tucked oceanfront overlooking Kauai's pristine coastline, these luxury 3BR/3BA villas offer a spacious upgraded interior with a full modern kitchen, high-end decor, and an expansive private lanai featuring spectacular views of the blue Pacific.",within an hour,100%,99%,t,Kaanapali,596.0,"['email', 'phone']",t,t,Lihue,Kauai,Entire condo,Entire home/apt,8,3.0,3.0,4.0,"[""Coffee maker"", ""Hair dryer"", ""Bathtub"", ""Dishwasher"", ""Pool"", ""Wifi"", ""BBQ grill"", ""Private entrance"", ""Hot tub"", ""Paid parking on premises"", ""Refrigerator"", ""Essentials"", ""Beach access \u2013 Beachfront"", ""Hot water"", ""Indoor fireplace"", ""Kitchen"", ""Microwave"", ""Elevator"", ""Iron"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Waterfront"", ""Cooking basics"", ""Dedicated workspace"", ""Patio or balcony"", ""Air conditioning"", ""Fire extinguisher"", ""Stove"", ""Shampoo"", ""Bed linens"", ""Carbon monoxide alarm"", ""Extra pillows and blankets"", ""Hangers"", ""Smoke alarm"", ""Dryer"", ""Gym""]",$827.00,4,1125,4,1125,4.0,1125.0,0,0,0,0,0,,0,0,0.0,,,,,,,,t,,"350011740000, TA-175-718-1952-01"
21000,765161014166476043,*2BR Oceanside Resort sleeps 6*,371942068,Joy,2020-10-14,"Nearby Pu‘uhonua o Hōnaunau, an ancient sanctuary whose name means ""the place of refuge,"" could easily describe this resort. Oceanfront, modern, and conveniently tucked outside Kailua-Kona, tranquility reigns. It’s the ideal home-base for all of your island adventures.",within an hour,97%,46%,t,Ormond Shores,772.0,"['email', 'phone']",t,t,North Kona,Hawaii,Room in hotel,Private room,6,,2.0,,"[""Heating"", ""Hair dryer"", ""Pool"", ""Wifi"", ""BBQ grill"", ""Private entrance"", ""Hot tub"", ""Essentials"", ""Kitchen"", ""Outdoor dining area"", ""Iron"", ""Washer"", ""TV"", ""First aid kit"", ""Cooking basics"", ""Dedicated workspace"", ""Air conditioning"", ""Fire extinguisher"", ""Exercise equipment"", ""Shampoo"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Hangers"", ""Smoke alarm"", ""Dryer"", ""Gym""]",,4,365,4,365,4.0,365.0,0,0,0,0,0,,0,0,,,,,,,,,t,,
21200,766257652328554087,Diamond head &Sunrise View Waikiki studio 12Fl,232617370,Shuqin,2018-12-26,"🌈Car Parking available for $25/day (limited availability). Covered garage parking Location: around 7 minutes walk from Airbnb place.<br />Parking Payment: Cash only<br />* Please contact host for further details. <br /><br />🌈Perfect location!Walking distance to everything!Beach,restaurants,luxury stores,Alamona shopping center…<br /><br />🌈About 10-15 minutes’ walking to Waikiki beach.",within an hour,100%,99%,t,Aliamanu - Salt Lakes - Foster Village,19.0,"['email', 'phone']",t,t,Primary Urban Center,Honolulu,Entire rental unit,Entire home/apt,3,1.0,0.0,1.0,"[""Cooking basics"", ""Wifi"", ""Dedicated workspace"", ""Paid washer \u2013 In building"", ""BBQ grill"", ""Elevator"", ""Canal view"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Conditioner"", ""Shower gel"", ""Smoke alarm"", ""Dining table"", ""Shared gym in building"", ""Body soap"", ""Paid parking on premises"", ""Outdoor dining area"", ""Hair dryer"", ""Paid dryer \u2013 In building"", ""Hot water kettle"", ""Kitchenette"", ""Long term stays allowed"", ""Mountain view"", ""Laundromat nearby"", ""Trash compactor"", ""Mini fridge"", ""Rice maker"", ""Hot water"", ""Essentials"", ""Carbon monoxide alarm"", ""Free street parking"", ""Ocean view"", ""Electric stove"", ""Bed linens"", ""Iron"", ""HDTV with Hulu, Netflix, Amazon Prime Video"", ""Microwave"", ""City skyline view"", ""Shared outdoor pool - available all year, open specific hours"", ""Golf course view"", ""Self check-in"", ""Room-darkening shades"", ""Cleaning products"", ""Window AC unit"", ""Shared hot tub - available all year, open specific hours"", ""Single level home"", ""Shampoo"", ""Lockbox""]",$81.00,4,90,1,90,4.0,90.0,12,42,72,162,58,2023-01-05,37,232,18792.0,4.74,4.71,4.74,4.83,4.86,4.72,4.66,f,2.17,"260140320242, 1210, TA-116-939-0080-01"
21400,772389015265864624,Mauna Lani Point | C203,231330348,CoralTree Residences,2018-12-18,1 Bedroom Ocean View Condo - BRONZE,within an hour,99%,100%,t,Poipu,421.0,['phone'],t,f,South Kohala,Hawaii,Entire condo,Entire home/apt,2,1.5,1.0,1.0,"[""Coffee maker"", ""Heating"", ""Hair dryer"", ""Dishwasher"", ""Pool"", ""Wifi"", ""Hot tub"", ""Refrigerator"", ""Essentials"", ""Hot water"", ""Kitchen"", ""Microwave"", ""Iron"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Cooking basics"", ""Dedicated workspace"", ""Air conditioning"", ""Stove"", ""Shampoo"", ""Bed linens"", ""Free parking on premises"", ""Hangers"", ""Smoke alarm"", ""Dryer""]",$851.00,1,1125,1,1125,2.2,491.4,14,26,35,219,4,2021-12-13,0,18,15318.0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,t,0.1,
21600,776002353806992390,Wailea Ekahi Village | 12B,231330348,CoralTree Residences,2018-12-18,Studio Ocean View Condo - PLATINUM,within an hour,99%,100%,t,Poipu,421.0,['phone'],t,f,Kihei-Makena,Maui,Entire condo,Entire home/apt,2,1.0,1.0,1.0,"[""Coffee maker"", ""Heating"", ""Hair dryer"", ""Dishwasher"", ""Pool"", ""Wifi"", ""Refrigerator"", ""Essentials"", ""Hot water"", ""Kitchen"", ""Microwave"", ""Iron"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Cooking basics"", ""Dedicated workspace"", ""Air conditioning"", ""Stove"", ""Shampoo"", ""Bed linens"", ""Free parking on premises"", ""Hangers"", ""Smoke alarm"", ""Dryer""]",$498.00,1,1125,1,1125,1.5,854.6,0,0,0,81,5,2024-08-03,5,30,14940.0,5.0,5.0,5.0,4.8,5.0,5.0,5.0,t,0.68,"210080640069, TA-196-371-4560-01"
21800,783348148137728352,Mauna Lani Fairways | Luxury Accommodations,450044933,Grand Welcome,2022-03-17,The Fairways at Mauna Lani is a townhome community situated along the 4th and 12th fairways of the resort's North Course. Maximum occupancy strictly enforced in accordance with local ordinances.,within an hour,96%,99%,f,Keauhou,135.0,['phone'],t,t,South Kohala,Hawaii,Entire townhouse,Entire home/apt,4,2.5,2.0,2.0,"[""Coffee maker"", ""Conditioner"", ""Free parking garage on premises"", ""Hair dryer"", ""Garden view"", ""Dining table"", ""Dishwasher"", ""Wifi"", ""BBQ grill"", ""Private entrance"", ""Hot tub"", ""Refrigerator"", ""Essentials"", ""Wine glasses"", ""Hot water"", ""Kitchen"", ""Toaster"", ""Body soap"", ""Microwave"", ""Iron"", ""Smart lock"", ""Dishes and silverware"", ""Washer"", ""Oven"", ""TV"", ""Cooking basics"", ""Dedicated workspace"", ""Patio or balcony"", ""Air conditioning"", ""Stove"", ""Backyard"", ""Shampoo"", ""Blender"", ""Ceiling fan"", ""Outdoor pool"", ""Bed linens"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Dryer"", ""Gym"", ""Beach essentials"", ""Self check-in""]",$305.00,1,365,3,365,4.2,365.0,6,6,6,6,6,2021-01-10,3,12,3660.0,4.67,5.0,4.67,4.5,4.33,5.0,4.5,t,0.12,
22000,793322549053273254,2 bd Maui Retreat - 5 miles of beach,4352359,Alexi,2012-12-07,"Gorgeous condo! It Tile flooring, island-style furniture, and a stunning kitchen with a full-size front load W/D!  2 bed/2 bath there is room for 6 guests. TVs, free WIFI, and AC in the living-room. Ocean views and ground floor, you can step right to the heated pool or down to the white sandy beach. Adjacent to the marina is a complex with various shops and restaurants, the Maui Aquarium and more. Free Parking, central location, close to everything!<br />Please note Hawaii lodging tax of 14.25%",within an hour,96%,94%,f,Childs Park,6.0,"['email', 'phone']",t,t,Kihei-Makena,Maui,Entire rental unit,Entire home/apt,6,2.0,2.0,2.0,"[""Cooking basics"", ""Beach access \u2013 Beachfront"", ""Wifi"", ""Dedicated workspace"", ""BBQ grill"", ""Dishes and silverware"", ""Stove"", ""Kitchen"", ""Clothing storage: closet and dresser"", ""Conditioner"", ""Free parking on premises"", ""Smoke alarm"", ""Dining table"", ""Washer"", ""Body soap"", ""Coffee maker"", ""Fire extinguisher"", ""Waterfront"", ""Outdoor dining area"", ""Hair dryer"", ""Long term stays allowed"", ""Refrigerator"", ""Air conditioning"", ""Pets allowed"", ""Free street parking"", ""Hot water"", ""Essentials"", ""Dishwasher"", ""Beach view"", ""Central heating"", ""Bed linens"", ""Bathtub"", ""Free dryer \u2013 In unit"", ""Iron"", ""Freezer"", ""Barbecue utensils"", ""Pool view"", ""Microwave"", ""Outdoor furniture"", ""Toaster"", ""Room-darkening shades"", ""TV"", ""Cleaning products"", ""Shared hot tub - available all year, open specific hours"", ""Coffee"", ""Pool"", ""Oven"", ""Baking sheet"", ""First aid kit"", ""Shared backyard \u2013 Not fully fenced"", ""Single level home"", ""Ceiling fan"", ""Shampoo"", ""Private patio or balcony""]",$265.00,2,365,2,365,2.0,365.0,0,3,24,233,39,2023-01-10,22,132,34980.0,4.95,5.0,4.9,4.97,5.0,4.9,4.92,f,1.47,"380140040015, TA-012-053-8624-01"
