,ID,nombre,ID_host,host_nombre,host_desde,descripción,tiempo_respuesta,tasa_respuesta,tasa_aceptación_host,superhost,host_vecindario,host_listados,host_contacto,host_foto_perfil,host_identidad_verif,vecindario,grupo_vecindario,tipo_propiedad,tipo_habitación,alojados,baños,recámaras,camas,amenidades,precio,min_noches,max_noches,min_min_noches,max_max_noches,prom_min_noches,prom_max_noches,disponibilidad_30,disponibilidad_60,disponibilidad_90,disponibilidad_365,num_reviews,primer_review,ly_reviews,ocupación_estimada_365,ganancia_estimada_365,calificación_general,cal_precisión,cal_limpieza,cal_check-in,cal_comunicación,cal_ubicación,cal_valor,agendado_instante,reviews_mes,licencia
7845,33832145,Ocean Front Renovated Unit 415 with stunning views,52042236,Cristina Villarin,2015-12-22,"With a great 2nd floor oceanfront location, unit #415 stands out with some unique features. The island cottage style of the one bed, one bath condo is highlighted by custom features, such as a hand-painted sink and tiles in the bathroom!",within a day,86%,88%,t,Kihei/Wailea,118.0,"['email', 'phone', 'work_email']",t,t,Lahaina,Maui,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,"[""Cooking basics"", ""Beach access \u2013 Beachfront"", ""Wifi"", ""Dedicated workspace"", ""BBQ grill"", ""Private entrance"", ""Dishes and silverware"", ""Stove"", ""Keypad"", ""Kitchen"", ""Free parking on premises"", ""Patio or balcony"", ""Coffee maker"", ""Hair dryer"", ""Hot water kettle"", ""TV with standard cable"", ""Refrigerator"", ""Air conditioning"", ""Mini fridge"", ""Dishwasher"", ""Essentials"", ""Barbecue utensils"", ""Bathtub"", ""Freezer"", ""Microwave"", ""Toaster"", ""Self check-in"", ""Backyard"", ""Pool"", ""Oven""]",$139.00,1,1125,1,1125,3.1,367.7,22,45,75,269,0,,0,0,0.0,,,,,,,,t,,"430080050037, TA-100-955-5456-01"
7846,33832513,Ocean View -KUL209 - West Maui Condo in Quiet Ocea,52042236,Cristina Villarin,2015-12-22,"Larger than most of the one-bedroom and one-bathroom condos on the property, unit #209 is a spacious ground floor one-bedroom, one-bath vacation home. The ocean and pool view location is super convenient, heated pool, and BBQ.",within a day,86%,88%,t,Kihei/Wailea,118.0,"['email', 'phone', 'work_email']",t,t,Lahaina,Maui,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,"[""Coffee maker"", ""Hair dryer"", ""Dishwasher"", ""Pool"", ""Wifi"", ""Private entrance"", ""Refrigerator"", ""Essentials"", ""Barbecue utensils"", ""Kitchen"", ""Toaster"", ""Microwave"", ""Dishes and silverware"", ""TV with standard cable"", ""Oven"", ""Dedicated workspace"", ""Patio or balcony"", ""Air conditioning"", ""Stove"", ""Free parking on premises"", ""Hot water kettle""]",$291.00,1,1125,1,1125,2.8,459.5,5,5,24,233,0,,0,0,0.0,,,,,,,,t,,"430080040017, TA-092-663-3984-01"
7847,33832794,KB503-1 Bedroom/1bath Charming Oceanfront Condo on,52042236,Cristina Villarin,2015-12-22,Comfortable and charming home away from home. Beachfront property on Sugar Beach. Enjoy the huge ocean views and Maui's colorful sunsets from your spacious private lanai. This condo has a large living room with great views of the Pacific Ocean!,within a day,86%,88%,t,Kihei/Wailea,118.0,"['email', 'phone', 'work_email']",t,t,Kihei-Makena,Maui,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,"[""Coffee maker"", ""Freezer"", ""Hair dryer"", ""Dishwasher"", ""Pool"", ""Wifi"", ""Private entrance"", ""Refrigerator"", ""Essentials"", ""Barbecue utensils"", ""Kitchen"", ""Toaster"", ""Microwave"", ""Iron"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Cooking basics"", ""Dedicated workspace"", ""Patio or balcony"", ""Air conditioning"", ""Stove"", ""Free parking on premises"", ""Mini fridge"", ""Hot water kettle""]",$439.00,180,1125,180,1125,180.0,589.7,10,24,54,186,2,2019-08-31,0,0,0.0,4.5,5.0,4.5,4.0,5.0,5.0,4.5,t,0.03,TA-142-423-6544-01
7848,33832839,Oceantfront Dream- 2 Bedroom/2 Bath Expansive View,52042236,Cristina Villarin,2015-12-22,"Beachfront condo #410 is a 2 bed/2 bath corner unit in building 10, on the southern edge of the property. Corner units in end buildings like this mean extra windows with more expansive ocean views & extra light.",within a day,86%,88%,t,Kihei/Wailea,118.0,"['email', 'phone', 'work_email']",t,t,Kihei-Makena,Maui,Entire rental unit,Entire home/apt,4,2.0,2.0,4.0,"[""Coffee maker"", ""Freezer"", ""Hair dryer"", ""Dishwasher"", ""Pool"", ""Wifi"", ""Private entrance"", ""Refrigerator"", ""Essentials"", ""Barbecue utensils"", ""Kitchen"", ""Toaster"", ""Microwave"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Dedicated workspace"", ""Air conditioning"", ""Stove"", ""Free parking on premises"", ""Mini fridge"", ""Hot water kettle"", ""Dryer""]",$401.00,1,1125,1,1125,1.9,733.2,7,12,37,167,6,2021-07-14,0,0,0.0,4.83,5.0,5.0,5.0,4.67,5.0,4.83,t,0.13,"380130030038, TA-102-695-1168-01"
7849,33833054,KBR #208 - 1 Bedroom/1 Bath Serene Ocean Front uni,52042236,Cristina Villarin,2015-12-22,"Bright & beautiful, this beachfront 1 bed/bath condo in North Kihei, Maui is on serene, spectacular Sugar Beach.  Quality finishes (granite countertops, tile flooring throughout, large mirror wall) & lovely furniture make this unit extra appealing.",within a day,86%,88%,t,Kihei/Wailea,118.0,"['email', 'phone', 'work_email']",t,t,Kihei-Makena,Maui,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,"[""Wifi"", ""Dedicated workspace"", ""Private entrance"", ""Dishes and silverware"", ""Stove"", ""Kitchen"", ""Free parking on premises"", ""Patio or balcony"", ""Coffee maker"", ""Hair dryer"", ""Hot water kettle"", ""TV with standard cable"", ""Refrigerator"", ""Air conditioning"", ""Mini fridge"", ""Dishwasher"", ""Essentials"", ""Barbecue utensils"", ""Freezer"", ""Microwave"", ""Toaster"", ""Pool"", ""Oven""]",$138.00,1,1125,1,1125,3.2,229.8,28,44,74,300,2,2020-11-15,1,0,0.0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,t,0.04,"380130030016, TA-049-380-6592-01"
7850,33833134,KB201-2 bedroom 2 bath Ocean Front Charming Condo,52042236,Cristina Villarin,2015-12-22,Located at 36 S. Kihei Rd.  A comfortable and charming home away from home on a beach front property of the beautiful Sugar Beach of North Kihei. |  | This well appointed second floor unit has incredible panoramic views and is just steps away from beach!,within a day,86%,88%,t,Kihei/Wailea,118.0,"['email', 'phone', 'work_email']",t,t,Kihei-Makena,Maui,Entire rental unit,Entire home/apt,6,2.0,2.0,4.0,"[""Coffee maker"", ""Freezer"", ""Hair dryer"", ""Bathtub"", ""Dishwasher"", ""Pool"", ""Wifi"", ""Private entrance"", ""Refrigerator"", ""Essentials"", ""Barbecue utensils"", ""Kitchen"", ""Toaster"", ""Microwave"", ""Iron"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Dedicated workspace"", ""Patio or balcony"", ""Air conditioning"", ""Stove"", ""Backyard"", ""Free parking on premises"", ""Mini fridge"", ""Hot water kettle""]",$384.00,1,1125,1,1125,2.7,390.6,5,19,39,265,6,2019-08-04,0,0,0.0,5.0,5.0,4.83,5.0,5.0,5.0,5.0,t,0.09,"380130030009, TA-119-729-1520-01"
7851,33833245,KR607 - Great Top Floor Condo with Ocean/Bay Views,52042236,Cristina Villarin,2015-12-22,This condo is on the sixth floor. Features a full kitchen and large master bedroom with study. There is a king size bed in the bedroom . The living room opens to the lanai where you'll enjoy ocean views and winter whale watching!,within a day,86%,88%,t,Kihei/Wailea,118.0,"['email', 'phone', 'work_email']",t,t,Kihei-Makena,Maui,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Cooking basics"", ""Wifi"", ""Dedicated workspace"", ""Private entrance"", ""Dishes and silverware"", ""Stove"", ""Kitchen"", ""Free parking on premises"", ""Washer"", ""Patio or balcony"", ""Dryer"", ""Coffee maker"", ""Hair dryer"", ""Hot water kettle"", ""TV with standard cable"", ""Refrigerator"", ""Air conditioning"", ""Mini fridge"", ""Dishwasher"", ""Essentials"", ""Iron"", ""Freezer"", ""Microwave"", ""Toaster"", ""Backyard"", ""Pool"", ""Oven""]",$237.00,1,1125,1,1125,3.0,355.7,10,36,66,331,10,2019-08-17,0,0,0.0,4.4,4.5,4.7,4.8,5.0,4.6,4.6,t,0.15,"380130180048, TA-192-767-7952-01"
7857,33833285,KR604-Spectacular Direct Beachfront Condo on Top F,52042236,Cristina Villarin,2015-12-22,"Spectacular, direct beachfront condo. You know you can tell the places where owners have taken pride in providing the ultimate experience for their guests—that passion to share what drew them to the space in the first place! Top floor and ocean front.",within a day,86%,88%,t,Kihei/Wailea,118.0,"['email', 'phone', 'work_email']",t,t,Kihei-Makena,Maui,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,"[""Coffee maker"", ""Freezer"", ""Hair dryer"", ""Dishwasher"", ""Pool"", ""Wifi"", ""Private entrance"", ""Refrigerator"", ""Essentials"", ""Kitchen"", ""Toaster"", ""Microwave"", ""Iron"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Cooking basics"", ""Dedicated workspace"", ""Patio or balcony"", ""Air conditioning"", ""Stove"", ""Backyard"", ""Free parking on premises"", ""Mini fridge"", ""Hot water kettle"", ""Dryer""]",$342.00,1,1125,1,1125,2.5,519.0,15,28,38,226,1,2023-07-31,0,0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,0.05,"380130180045, TA-110-654-8736-01"
7859,33833464,KR506-Ocean View  - Beachfront Resort - Great Wint,52042236,Cristina Villarin,2015-12-22,This fifth-floor condo features a large master bedroom with both a king size bed and a lofted day bed in the alcove. There is also a pull-out sofa in the living room. Enjoy ocean views and winter whale watching from your private lanai. AC to keep you cool,within a day,86%,88%,t,Kihei/Wailea,118.0,"['email', 'phone', 'work_email']",t,t,Kihei-Makena,Maui,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,"[""Coffee maker"", ""Freezer"", ""Hair dryer"", ""Bathtub"", ""Dishwasher"", ""Pool"", ""Wifi"", ""Private entrance"", ""Refrigerator"", ""Essentials"", ""Kitchen"", ""Toaster"", ""Microwave"", ""Iron"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Dedicated workspace"", ""Patio or balcony"", ""Air conditioning"", ""Stove"", ""Backyard"", ""Free parking on premises"", ""Mini fridge"", ""Hot water kettle"", ""Dryer""]",$317.00,1,1125,1,1125,2.9,416.2,0,0,0,0,0,,0,0,0.0,,,,,,,,t,,"380130180038, TA-014-374-7072-01"
7860,33833541,KR501-Ocean Front- Gorgeous View of White Sand Bea,52042236,Cristina Villarin,2015-12-22,This contemporary fifth floor condo features a beautifully remodeled kitchen that looks out at the ocean view lanai. The spacious master bedroom is furnished with a king size bed. Remodeled bathroom features a tiled shower. Beautiful tiled floors.,within a day,86%,88%,t,Kihei/Wailea,118.0,"['email', 'phone', 'work_email']",t,t,Kihei-Makena,Maui,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Coffee maker"", ""Freezer"", ""Hair dryer"", ""Dishwasher"", ""Pool"", ""Wifi"", ""Private entrance"", ""Refrigerator"", ""Essentials"", ""Kitchen"", ""Toaster"", ""Microwave"", ""Iron"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Dedicated workspace"", ""Patio or balcony"", ""Air conditioning"", ""Stove"", ""Backyard"", ""Free parking on premises"", ""Mini fridge"", ""Hot water kettle"", ""Dryer""]",$297.00,1,1125,1,1125,3.2,279.9,0,29,59,286,0,,0,0,0.0,,,,,,,,t,,"380130180033, TA-154-470-1952-01"
7862,33833589,KR407- 1 Bedroom/ 1 Bath - Partial Ocean View Comf,52042236,Cristina Villarin,2015-12-22,"This lovely fourth floor condo features a full kitchen and large master bedroom. King size bed in the bedroom, with a twin bed in the alcove, and queen sofa/sleeper in the living room. Enjoy ocean views from your private lanai.",within a day,86%,88%,t,Kihei/Wailea,118.0,"['email', 'phone', 'work_email']",t,t,Kihei-Makena,Maui,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,"[""Coffee maker"", ""Freezer"", ""Hair dryer"", ""Dishwasher"", ""Pool"", ""Wifi"", ""Private entrance"", ""Refrigerator"", ""Essentials"", ""Kitchen"", ""Toaster"", ""Microwave"", ""Iron"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Dedicated workspace"", ""Patio or balcony"", ""Air conditioning"", ""Stove"", ""Backyard"", ""Free parking on premises"", ""Mini fridge"", ""Hot water kettle"", ""Dryer""]",$308.00,1,1125,1,1125,3.2,194.6,0,20,50,315,4,2021-04-19,0,0,0.0,4.25,4.5,4.25,4.75,4.25,4.75,4.0,t,0.08,"380130180030, TA-181-146-8288-01"
7863,33833650,KR405-Beautifully Remodeled Beachfront Condo with,52042236,Cristina Villarin,2015-12-22,Beachfront Kealia #405 has been beautifully remodeled with travertine tile flooring throughout the living area and bamboo in the bedroom; the kitchen is especially lovely with high-end stainless-steel appliances including a French-door refrigerator/freeze,within a day,86%,88%,t,Kihei/Wailea,118.0,"['email', 'phone', 'work_email']",t,t,Kihei-Makena,Maui,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,"[""Coffee maker"", ""Freezer"", ""Hair dryer"", ""Dishwasher"", ""Pool"", ""Wifi"", ""Private entrance"", ""Refrigerator"", ""Essentials"", ""Kitchen"", ""Toaster"", ""Microwave"", ""Iron"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Dedicated workspace"", ""Patio or balcony"", ""Air conditioning"", ""Stove"", ""Backyard"", ""Free parking on premises"", ""Mini fridge"", ""Hot water kettle"", ""Dryer""]",$258.00,1,1125,1,1125,2.8,463.3,12,32,55,234,1,2022-04-12,0,0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,0.03,"380130180028, TA-110-654-8736-01"
7864,33833682,KR404-Stunning South Maui Condo with Stunning Ocea,52042236,Cristina Villarin,2015-12-22,"Wow! This remodeled condo is stunning—and has stunning views from every room. A corner unit, Kealia 404 gives looks down upon the resort pool and across the lush landscaping, to the lovely beach, and on to a panoramic vista of the great blue Pacific!",within a day,86%,88%,t,Kihei/Wailea,118.0,"['email', 'phone', 'work_email']",t,t,Kihei-Makena,Maui,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,"[""Coffee maker"", ""Freezer"", ""Hair dryer"", ""Dishwasher"", ""Pool"", ""Wifi"", ""Private entrance"", ""Refrigerator"", ""Essentials"", ""Kitchen"", ""Toaster"", ""Microwave"", ""Iron"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Dedicated workspace"", ""Patio or balcony"", ""Air conditioning"", ""Stove"", ""Backyard"", ""Free parking on premises"", ""Mini fridge"", ""Hot water kettle"", ""Dryer""]",$347.00,1,1125,1,1125,2.3,546.7,14,29,38,219,1,2021-04-25,0,0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,0.02,"380130180027, TA-117-810-3808-01"
7865,33833716,KR403-South Maui Condo with Stunning Ocean Views f,52042236,Cristina Villarin,2015-12-22,"Beachfront Kealia #403 is a stunningly gorgeous condo with out of this world ocean views. The materials, finishes and furniture in this one bedroom, one bath unit are quality all the way. The fully equipped kitchen is especially striking!",within a day,86%,88%,t,Kihei/Wailea,118.0,"['email', 'phone', 'work_email']",t,t,Kihei-Makena,Maui,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Coffee maker"", ""Freezer"", ""Hair dryer"", ""Dishwasher"", ""Pool"", ""Wifi"", ""Private entrance"", ""Refrigerator"", ""Essentials"", ""Kitchen"", ""Toaster"", ""Microwave"", ""Iron"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Cooking basics"", ""Dedicated workspace"", ""Patio or balcony"", ""Air conditioning"", ""Stove"", ""Backyard"", ""Free parking on premises"", ""Hot water kettle"", ""Dryer""]",$254.00,1,1125,1,1125,2.8,474.6,10,40,63,217,2,2021-07-12,0,0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,0.04,"380130180026, TA-117-580-1856-01"
7870,33833740,KR402- Oceanfront Condo Oceanview and Beautiful Se,52042236,Cristina Villarin,2015-12-22,"You can’t beat the views from beachfront Kealia #402. From the living room, kitchen and bedroom you look down on the resort’s pool, the white sand beach, and the mighty Pacific Ocean. Sunrises, sunsets, and harbor boats are the stunning standard fare!",within a day,86%,88%,t,Kihei/Wailea,118.0,"['email', 'phone', 'work_email']",t,t,Kihei-Makena,Maui,Entire rental unit,Entire home/apt,3,,1.0,,"[""Coffee maker"", ""Freezer"", ""Hair dryer"", ""Dishwasher"", ""Pool"", ""Wifi"", ""Private entrance"", ""Refrigerator"", ""Essentials"", ""Kitchen"", ""Toaster"", ""Microwave"", ""Iron"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Cooking basics"", ""Dedicated workspace"", ""Patio or balcony"", ""Air conditioning"", ""Stove"", ""Backyard"", ""Free parking on premises"", ""Mini fridge"", ""Hot water kettle"", ""Dryer""]",,1,1125,1,1125,1.0,1125.0,0,0,0,0,1,2021-05-31,0,0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,0.02,"380130180025, TA-210-765-2096-01"
7871,33833772,KR309-Perfection—Exquisite Remodeled South Maui St,52042236,Cristina Villarin,2015-12-22,"South Maui’s perfect studio condo; it has everything you need and is beautiful to boot. Entirely remodeled with quality materials, beautiful, comfortable furniture, and tasteful décor. The use of space has been so well-thought out and executed.",within a day,86%,88%,t,Kihei/Wailea,118.0,"['email', 'phone', 'work_email']",t,t,Kihei-Makena,Maui,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,"[""Coffee maker"", ""Hair dryer"", ""Dishwasher"", ""Pool"", ""Wifi"", ""Private entrance"", ""Refrigerator"", ""Essentials"", ""Kitchen"", ""Microwave"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Dedicated workspace"", ""Patio or balcony"", ""Air conditioning"", ""Stove"", ""Free parking on premises"", ""Dryer""]",$224.00,1,1125,1,1125,1.8,473.1,6,31,61,224,9,2021-07-06,0,0,0.0,4.67,4.89,4.33,4.89,4.89,4.67,4.67,t,0.2,"380130180023, TA-002-439-9872-01"
7872,33833846,Ocean View / Beach Condo -KR306- Great Spring rate,52042236,Cristina Villarin,2015-12-22,What a pretty condo—the only thing lovelier is the view; it looks across several swaying palm trees in a lush green park to a white sanded beach and the very blue Pacific beyond. Tranquility describes both the view and the condo.,within a day,86%,88%,t,Kihei/Wailea,118.0,"['email', 'phone', 'work_email']",t,t,Kihei-Makena,Maui,Entire condo,Entire home/apt,2,1.0,1.0,2.0,"[""Coffee maker"", ""Freezer"", ""Hair dryer"", ""Bathtub"", ""Dishwasher"", ""Pool"", ""Wifi"", ""Private entrance"", ""Refrigerator"", ""Essentials"", ""Beach access \u2013 Beachfront"", ""Kitchen"", ""Toaster"", ""Microwave"", ""Iron"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Dedicated workspace"", ""Patio or balcony"", ""Air conditioning"", ""Stove"", ""Backyard"", ""Keypad"", ""Free parking on premises"", ""Mini fridge"", ""Hot water kettle"", ""Dryer"", ""Self check-in""]",$262.00,1,1125,1,1125,3.2,287.3,11,41,71,281,0,,0,0,0.0,,,,,,,,t,,"380130180020, TA-065-335-9616-01"
7873,33833938,KR208- Park and Ocean View Condo in Beach Front Re,52042236,Cristina Villarin,2015-12-22,"Facing northwest at Kealia, a beach front resort in south Maui, condo 208 has a sophisticated feel with tiling throughout and a gorgeous remodeled kitchen with stainless steel appliances and granite counters and large area seating for four!",within a day,86%,88%,t,Kihei/Wailea,118.0,"['email', 'phone', 'work_email']",t,t,Kihei-Makena,Maui,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,"[""Wifi"", ""Dedicated workspace"", ""Private entrance"", ""Dishes and silverware"", ""Stove"", ""Kitchen"", ""Free parking on premises"", ""Washer"", ""Dryer"", ""Coffee maker"", ""Hair dryer"", ""Hot water kettle"", ""TV with standard cable"", ""Refrigerator"", ""Air conditioning"", ""Dishwasher"", ""Essentials"", ""Barbecue utensils"", ""Iron"", ""Microwave"", ""Toaster"", ""Pool"", ""Oven""]",$318.00,1,1125,1,1125,2.8,380.9,12,26,56,271,0,,0,0,0.0,,,,,,,,t,,"380130180013, TA-032-788-2240-01"
7874,33834009,KR205-South Maui Condo with Ocean and Park Views-,52042236,Cristina Villarin,2015-12-22,"Close to the beach, this second floor condo features a queen bed in the bedroom, and a queen sofa sleeper in the living room. Adjoining the master bedroom is an alcove sitting area with lots of space for reading and visiting. Enjoy ocean views!",within a day,86%,88%,t,Kihei/Wailea,118.0,"['email', 'phone', 'work_email']",t,t,Kihei-Makena,Maui,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,"[""Coffee maker"", ""Freezer"", ""Hair dryer"", ""Dishwasher"", ""Pool"", ""Wifi"", ""Private entrance"", ""Refrigerator"", ""Essentials"", ""Kitchen"", ""Toaster"", ""Microwave"", ""Iron"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Dedicated workspace"", ""Patio or balcony"", ""Air conditioning"", ""Stove"", ""Backyard"", ""Free parking on premises"", ""Mini fridge"", ""Hot water kettle"", ""Dryer""]",$245.00,1,1125,1,1125,2.5,509.4,6,26,56,232,8,2019-08-05,0,0,0.0,4.88,5.0,5.0,4.88,4.75,5.0,4.63,t,0.12,"380130180010, TA-212-486-5536-01"
7875,33834056,KR203-Oceanfront Beautiful Condo,52042236,Cristina Villarin,2015-12-22,"Beachfront Kealia 203 is beautifully remodeled with quality materials and furnished and decorated with luxury and tranquility in mind. Sleek and cool, light color tile flooring runs throughout the condo (even the lanai) and a soft, subtle color palette.",within a day,86%,88%,t,Kihei/Wailea,118.0,"['email', 'phone', 'work_email']",t,t,Kihei-Makena,Maui,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,"[""Coffee maker"", ""Freezer"", ""Hair dryer"", ""Dishwasher"", ""Pool"", ""Wifi"", ""Private entrance"", ""Refrigerator"", ""Essentials"", ""Kitchen"", ""Toaster"", ""Microwave"", ""Iron"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Dedicated workspace"", ""Patio or balcony"", ""Air conditioning"", ""Stove"", ""Backyard"", ""Free parking on premises"", ""Mini fridge"", ""Hot water kettle"", ""Dryer""]",$269.00,1,1125,1,1125,3.2,282.3,19,40,70,288,3,2019-08-15,0,0,0.0,4.33,3.67,5.0,4.67,4.33,4.67,3.67,t,0.04,"380130180008, TA-117-076-1728-01"
7876,33834121,Oceanfront/Beach Condo KR101-South Maui With Drama,52042236,Cristina Villarin,2015-12-22,"Beachfront Kealia #101 is a well-appointed garden level condo with striking ocean views and a dramatic, tropical ambience. It has unique features (for example, the arched entry into the kitchen) and is tiled throughout, including two half-wall areas.",within a day,86%,88%,t,Kihei/Wailea,118.0,"['email', 'phone', 'work_email']",t,t,Kihei-Makena,Maui,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Coffee maker"", ""Freezer"", ""Hair dryer"", ""Dishwasher"", ""Pool"", ""Wifi"", ""Private entrance"", ""Refrigerator"", ""Essentials"", ""Kitchen"", ""Toaster"", ""Microwave"", ""Iron"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Dedicated workspace"", ""Patio or balcony"", ""Air conditioning"", ""Stove"", ""Backyard"", ""Free parking on premises"", ""Mini fridge"", ""Hot water kettle"", ""Dryer""]",$237.00,1,1125,1,1125,3.0,329.1,7,7,7,7,2,2021-07-01,1,0,0.0,4.5,5.0,4.5,5.0,4.5,5.0,4.0,t,0.04,"380130180001, TA-045-389-6192-01"
7877,33834217,Ocean View KAN405 - Maui - Ma’alaea Condo Great Vi,52042236,Cristina Villarin,2015-12-22,"This lovely condo is in secluded, beach front, Kanai A Nalu Resort. The full kitchen is clean and inviting; prep easy meals or full-on tropical feasts and live local. It also houses a washer/dryer for the ultimate in vacation convenience.",within a day,86%,88%,t,Kihei/Wailea,118.0,"['email', 'phone', 'work_email']",t,t,Kihei-Makena,Maui,Entire rental unit,Entire home/apt,6,2.0,2.0,4.0,"[""Wifi"", ""Dedicated workspace"", ""Private entrance"", ""Dishes and silverware"", ""Stove"", ""Kitchen"", ""Free parking on premises"", ""Washer"", ""Patio or balcony"", ""Dryer"", ""Coffee maker"", ""Hair dryer"", ""Hot water kettle"", ""TV with standard cable"", ""Refrigerator"", ""Air conditioning"", ""Mini fridge"", ""Dishwasher"", ""Essentials"", ""Barbecue utensils"", ""Iron"", ""Freezer"", ""Microwave"", ""Toaster"", ""Backyard"", ""Pool"", ""Oven""]",$323.00,1,1125,1,1125,2.6,458.9,0,19,21,230,1,2021-11-25,0,0,0.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,t,0.02,"380140040065, TA-084-589-3632-01"
7878,33834328,Ocean View KAN316 - Maui Condo in Quiet Beachfront,52042236,Cristina Villarin,2015-12-22,"Explore the island from this centrally located beach front condo in Ma'alaea, convenient to most attractions on Maui with a 15 to 40-minute commute times. (Heavenly Hana and the summit of Haleakala are further, but so worth the trip).",within a day,86%,88%,t,Kihei/Wailea,118.0,"['email', 'phone', 'work_email']",t,t,Kihei-Makena,Maui,Entire rental unit,Entire home/apt,6,2.0,2.0,4.0,"[""Coffee maker"", ""Freezer"", ""Hair dryer"", ""Bathtub"", ""Dishwasher"", ""Pool"", ""Wifi"", ""Private entrance"", ""Refrigerator"", ""Essentials"", ""Barbecue utensils"", ""Kitchen"", ""Toaster"", ""Microwave"", ""Iron"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Dedicated workspace"", ""Patio or balcony"", ""Air conditioning"", ""Stove"", ""Backyard"", ""Free parking on premises"", ""Mini fridge"", ""Hot water kettle"", ""Dryer""]",$406.00,1,1125,1,1125,2.9,263.6,6,6,6,6,3,2021-07-22,1,0,0.0,5.0,5.0,5.0,5.0,5.0,4.67,3.67,t,0.07,"380140040056, TA-074-727-2704-01"
7879,33834501,Oceanview 2 Bdrm/2 Bath - KAN114 -1st floor Gorgeo,52042236,Cristina Villarin,2015-12-22,"Kanai A Nalu beach front condo #114 is a paradise in paradise, what an exquisite remodel, high-end materials, finishes and furniture, every detail has been thought through! With wide-planked wood floors throughout, a gourmet stainless steel, and more!",within a day,86%,88%,t,Kihei/Wailea,118.0,"['email', 'phone', 'work_email']",t,t,Kihei-Makena,Maui,Entire rental unit,Entire home/apt,6,2.0,2.0,2.0,"[""Coffee maker"", ""Freezer"", ""Hair dryer"", ""Dishwasher"", ""Pool"", ""Wifi"", ""Private entrance"", ""Refrigerator"", ""Essentials"", ""Barbecue utensils"", ""Kitchen"", ""Toaster"", ""Microwave"", ""Iron"", ""Dishes and silverware"", ""TV with standard cable"", ""Washer"", ""Oven"", ""Dedicated workspace"", ""Patio or balcony"", ""Air conditioning"", ""Stove"", ""Backyard"", ""Free parking on premises"", ""Mini fridge"", ""Hot water kettle"", ""Dryer""]",$359.00,1,1125,1,1125,2.8,322.8,10,32,48,298,14,2020-03-08,0,0,0.0,5.0,5.0,4.93,4.93,4.93,4.93,4.71,t,0.23,"380140040014, TA-178-070-9376-01"
